location;x;y;thing;stream;observations;count;median
Verkehrszählstelle 0295970;9.999377;53.580126;https://iot.hamburg.de/v1.1/Things(5564);https://iot.hamburg.de/v1.1/Datastreams(11798);https://iot.hamburg.de/v1.1/Datastreams(11798)/Observations;102;8568.0
Verkehrszählstelle 0295971;9.999336766864792;53.58014345319116;https://iot.hamburg.de/v1.1/Things(5565);https://iot.hamburg.de/v1.1/Datastreams(11802);https://iot.hamburg.de/v1.1/Datastreams(11802)/Observations;102;4635.0
Verkehrszählstelle 0295972;9.999405;53.580105;https://iot.hamburg.de/v1.1/Things(5566);https://iot.hamburg.de/v1.1/Datastreams(11806);https://iot.hamburg.de/v1.1/Datastreams(11806)/Observations;102;3922.0
Verkehrszählstelle 6370940;9.953765;53.575705;https://iot.hamburg.de/v1.1/Things(5567);https://iot.hamburg.de/v1.1/Datastreams(11810);https://iot.hamburg.de/v1.1/Datastreams(11810)/Observations;101;4398.0
Verkehrszählstelle 6370941;9.95378679;53.5757405;https://iot.hamburg.de/v1.1/Things(5568);https://iot.hamburg.de/v1.1/Datastreams(11814);https://iot.hamburg.de/v1.1/Datastreams(11814)/Observations;101;2046.0
Verkehrszählstelle 6370942;9.95374997;53.5756692;https://iot.hamburg.de/v1.1/Things(5569);https://iot.hamburg.de/v1.1/Datastreams(11818);https://iot.hamburg.de/v1.1/Datastreams(11818)/Observations;101;2378.0
Verkehrszählstelle 0295910;9.999531;53.580518;https://iot.hamburg.de/v1.1/Things(5570);https://iot.hamburg.de/v1.1/Datastreams(11822);https://iot.hamburg.de/v1.1/Datastreams(11822)/Observations;287;2950.0
Verkehrszählstelle 0295911;9.99951;53.580504;https://iot.hamburg.de/v1.1/Things(5571);https://iot.hamburg.de/v1.1/Datastreams(11826);https://iot.hamburg.de/v1.1/Datastreams(11826)/Observations;287;1597.0
Verkehrszählstelle 0295912;9.999549;53.580531;https://iot.hamburg.de/v1.1/Things(5572);https://iot.hamburg.de/v1.1/Datastreams(11830);https://iot.hamburg.de/v1.1/Datastreams(11830)/Observations;287;1242.0
Verkehrszählstelle 7434930;10.036556;53.575722;https://iot.hamburg.de/v1.1/Things(5573);https://iot.hamburg.de/v1.1/Datastreams(11834);https://iot.hamburg.de/v1.1/Datastreams(11834)/Observations;310;2022.5
Verkehrszählstelle 7434932;10.036746;53.575637;https://iot.hamburg.de/v1.1/Things(5574);https://iot.hamburg.de/v1.1/Datastreams(11838);https://iot.hamburg.de/v1.1/Datastreams(11838)/Observations;310;989.5
Verkehrszählstelle 6894920;10.018671;53.491655;https://iot.hamburg.de/v1.1/Things(5575);https://iot.hamburg.de/v1.1/Datastreams(11842);https://iot.hamburg.de/v1.1/Datastreams(11842)/Observations;233;231.0
Verkehrszählstelle 6894921;10.018558;53.491671;https://iot.hamburg.de/v1.1/Things(5576);https://iot.hamburg.de/v1.1/Datastreams(11846);https://iot.hamburg.de/v1.1/Datastreams(11846)/Observations;233;113.0
Verkehrszählstelle 6894922;10.018791;53.491647;https://iot.hamburg.de/v1.1/Things(5577);https://iot.hamburg.de/v1.1/Datastreams(11850);https://iot.hamburg.de/v1.1/Datastreams(11850)/Observations;233;120.0
Verkehrszählstelle 6117941;10.042914;53.598681;https://iot.hamburg.de/v1.1/Things(5579);https://iot.hamburg.de/v1.1/Datastreams(11858);https://iot.hamburg.de/v1.1/Datastreams(11858)/Observations;310;15.0
Verkehrszählstelle 0269952;9.971398;53.567133;https://iot.hamburg.de/v1.1/Things(5583);https://iot.hamburg.de/v1.1/Datastreams(11874);https://iot.hamburg.de/v1.1/Datastreams(11874)/Observations;310;973.0
Verkehrszählstelle 7302962;10.207674;53.491391;https://iot.hamburg.de/v1.1/Things(5586);https://iot.hamburg.de/v1.1/Datastreams(11886);https://iot.hamburg.de/v1.1/Datastreams(11886)/Observations;207;490.0
Verkehrszählstelle 7414961;9.950509;53.616973;https://iot.hamburg.de/v1.1/Things(5591);https://iot.hamburg.de/v1.1/Datastreams(11906);https://iot.hamburg.de/v1.1/Datastreams(11906)/Observations;221;1032.0
Verkehrszählstelle 6894952;10.01929;53.490747;https://iot.hamburg.de/v1.1/Things(5598);https://iot.hamburg.de/v1.1/Datastreams(11934);https://iot.hamburg.de/v1.1/Datastreams(11934)/Observations;108;211.5
Verkehrszählstelle 0117932;10.027664;53.533222;https://iot.hamburg.de/v1.1/Things(5616);https://iot.hamburg.de/v1.1/Datastreams(12006);https://iot.hamburg.de/v1.1/Datastreams(12006)/Observations;185;873.0
